S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2020032201002299,NLIC,13,34,380,1050,399000.00
2,2020032201002300,PROFL,36,45,10,102,1020.00
3,2020032201002301,GLICL,39,59,50,403,20150.00
4,2020032201002302,KPCL,25,39,10,108,1080.00
5,2020032201002303,JSLBB,45,17,17,1890,32130.00
6,2020032201002304,GILB,36,28,100,1115,111500.00
7,2020032201002305,UPPER,41,34,66,227,14982.00
8,2020032201002306,JBBL,43,38,22,166,3652.00
9,2020032201002307,SICL,17,50,30,845,25350.00
10,2020032201002308,SJCL,45,5,100,142,14200.00
11,2020032201002309,SJCL,54,5,300,141,42300.00
12,2020032201002310,FOWAD,36,14,200,1378,275600.00
13,2020032201002311,FOWAD,36,37,300,1380,414000.00
14,2020032201002312,NCCB,22,11,100,178,17800.00
15,2020032201002313,MBL,56,49,30,216,6480.00
16,2020032201002314,MBL,59,49,300,216,64800.00
17,2020032201002315,MBL,59,49,300,216,64800.00
18,2020032201002316,MBL,8,49,100,216,21600.00
19,2020032201002317,MBL,35,49,10,215,2150.00
20,2020032201002318,MBL,8,49,100,215,21500.00
Page 1/120 12345678910Next›Last»
Total Amount Rs.,"194,642,984"
Total Quantity,"480,527"
